Location,Property_Type,Price_INR,Area_sqft,BHK,Bathrooms,City,price_per_sqft
Ab Road,Apartment,8900000.0,2055.0,1,1.0,Indore,4330.9
Lig Colony,Apartment,7900000.0,2141.0,5,6.0,Indore,3689.86
Nipania,Apartment,13000000.0,1909.0,1,1.0,Indore,6809.85
Super Corridor,Apartment,4900000.0,524.0,2,1.0,Indore,9351.15
Palasia,Independent House,5200000.0,1054.0,2,2.0,Indore,4933.59
Nipania,Villa,6600000.0,996.0,3,3.0,Indore,6626.51
Super Corridor,Apartment,12200000.0,1596.0,4,4.0,Indore,7644.11
Nipania,Villa,3200000.0,2261.0,2,2.0,Indore,1415.3
Bypass Road,Apartment,2500000.0,2509.0,5,6.0,Indore,996.41
Nipania,Apartment,6100000.0,2666.0,2,1.0,Indore,2288.07
Ab Road,Apartment,13800000.0,1557.0,2,2.0,Indore,8863.2
Sudama Nagar,Apartment,7100000.0,1693.0,1,1.0,Indore,4193.74
Lig Colony,Villa,11900000.0,1496.0,1,1.0,Indore,7954.55
Sudama Nagar,Independent House,7600000.0,684.0,1,1.0,Indore,11111.11
Ab Road,Apartment,9500000.0,1195.0,1,1.0,Indore,7949.79
Lig Colony,Villa,6800000.0,1440.0,3,3.0,Indore,4722.22
Palasia,Studio,3500000.0,1002.0,3,3.0,Indore,3493.01
Palasia,Studio,12000000.0,2029.0,1,1.0,Indore,5914.24
Sudama Nagar,Villa,7700000.0,2710.0,2,2.0,Indore,2841.33
Sudama Nagar,Apartment,7100000.0,2524.0,1,1.0,Indore,2813.0
Rau,Apartment,10500000.0,1921.0,2,2.0,Indore,5465.9
Super Corridor,Apartment,6600000.0,2324.0,1,1.0,Indore,2839.93
Vijay Nagar,Apartment,7800000.0,1723.0,3,3.0,Indore,4526.99
Super Corridor,Independent House,11700000.0,1865.0,2,2.0,Indore,6273.46
Nipania,Apartment,12400000.0,2108.0,4,5.0,Indore,5882.35
Bypass Road,Apartment,14500000.0,2495.0,3,3.0,Indore,5811.62
Nipania,Apartment,14600000.0,2571.0,2,3.0,Indore,5678.72
Nipania,Apartment,4300000.0,1485.0,4,4.0,Indore,2895.62
Bypass Road,Apartment,14000000.0,1939.0,2,1.0,Indore,7220.22
Lig Colony,Apartment,6900000.0,1634.0,2,3.0,Indore,4222.77
Vijay Nagar,Apartment,5700000.0,1917.5,1,1.0,Indore,2972.62
Palasia,Apartment,9500000.0,2955.0,2,3.0,Indore,3214.89
Lig Colony,Apartment,2400000.0,700.0,2,3.0,Indore,3428.57
Bhawarkua,Apartment,14800000.0,1563.0,2,2.0,Indore,9468.97
Ab Road,Apartment,11100000.0,1939.0,2,2.0,Indore,5724.6
Ab Road,Apartment,9300000.0,1624.0,4,4.0,Indore,5726.6
Vijay Nagar,Apartment,10100000.0,1192.0,2,2.0,Indore,8473.15
Bhawarkua,Apartment,10400000.0,501.0,2,2.0,Indore,20758.48
Ab Road,Apartment,7200000.0,1988.0,3,2.0,Indore,3621.73
Bypass Road,Apartment,7100000.0,879.0,2,2.0,Indore,8077.36
Super Corridor,Independent House,13500000.0,1274.0,3,3.0,Indore,10596.55
Lig Colony,Apartment,14300000.0,1524.0,1,1.0,Indore,9383.2
Super Corridor,Villa,5200000.0,1290.0,2,2.0,Indore,4031.01
Lig Colony,Apartment,11300000.0,1939.0,2,2.0,Indore,5827.75
Rau,Apartment,5700000.0,2212.0,3,3.0,Indore,2576.85
Ab Road,Apartment,14200000.0,1731.0,2,2.0,Indore,8203.35
Palasia,Independent House,7800000.0,1865.0,2,2.0,Indore,4182.31
Bypass Road,Studio,11700000.0,2663.0,2,3.0,Indore,4393.54
Sudama Nagar,Apartment,5100000.0,2372.0,2,2.0,Indore,2150.08
Bypass Road,Apartment,13300000.0,1121.0,1,1.0,Indore,11864.41
Rau,Independent House,7000000.0,1131.0,4,4.0,Indore,6189.21
Bhawarkua,Independent House,9000000.0,1744.0,2,2.0,Indore,5160.55
Lig Colony,Apartment,13100000.0,1493.0,2,2.0,Indore,8774.28
Palasia,Apartment,13200000.0,1163.0,1,1.0,Indore,11349.96
Sudama Nagar,Apartment,9200000.0,1340.0,1,1.0,Indore,6865.67
Bhawarkua,Apartment,9900000.0,1048.0,1,2.0,Indore,9446.56
Sudama Nagar,Apartment,12400000.0,1477.0,1,1.0,Indore,8395.4
Ab Road,Villa,5700000.0,1377.5,3,2.0,Indore,4137.93
Sudama Nagar,Independent House,8300000.0,2997.0,2,2.0,Indore,2769.44
Vijay Nagar,Apartment,7200000.0,558.0,2,2.0,Indore,12903.23
Nipania,Apartment,5900000.0,1776.0,1,1.0,Indore,3322.07
Bhawarkua,Apartment,9900000.0,1669.0,3,3.0,Indore,5931.7
Bhawarkua,Apartment,4300000.0,1473.0,1,1.0,Indore,2919.21
Super Corridor,Studio,6400000.0,854.0,1,1.0,Indore,7494.15
Lig Colony,Apartment,12300000.0,618.0,1,1.0,Indore,19902.91
Ab Road,Independent House,12600000.0,2975.0,3,4.0,Indore,4235.29
Ab Road,Apartment,10500000.0,2468.0,1,2.0,Indore,4254.46
Vijay Nagar,Apartment,13600000.0,1600.0,2,2.0,Indore,8500.0
Vijay Nagar,Apartment,2600000.0,2178.0,2,2.0,Indore,1193.76
Super Corridor,Villa,4600000.0,1244.0,1,1.0,Indore,3697.75
Nipania,Villa,13800000.0,1592.0,2,3.0,Indore,8668.34
Lig Colony,Apartment,9700000.0,2627.0,3,2.0,Indore,3692.42
Palasia,Apartment,13900000.0,1939.0,2,2.0,Indore,7168.64
Bypass Road,Apartment,6100000.0,1772.0,2,1.0,Indore,3442.44
